2025-06-27 18:16:56 - sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-27 18:16:56 - sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-27 18:16:56 - sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-27 18:16:56 - sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-27 18:16:56 - sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (32, 7)
2025-06-27 18:16:56 - sugar - DEBUG - 读取 dataframe 数据, 表名: aibot_sentimental_sugar_researcher
2025-06-27 18:16:56 - sugar - ERROR - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 表名不存在！
2025-06-27 18:17:24 - sugar_researcher - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-27 18:17:24 - sugar_researcher - INFO - =====>>>>> [初始化] 表名: aibot_sentimental_sugar_researcher, AI 模型: deepseek, 数据获取周期：2025-06-10 至 2025-06-10
2025-06-27 18:17:24 - sugar_researcher - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-27 18:17:24 - sugar_researcher - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-27 18:17:24 - sugar_researcher - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-27 18:17:24 - sugar_researcher - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (32, 7)
2025-06-27 18:17:24 - sugar_researcher - INFO - 数据获取成功: (32, 7), 耗时: 0:00:00.051833
2025-06-27 18:17:24 - sugar_researcher - DEBUG - 读取 dataframe 数据, 表名: aibot_sentimental_sugar_researcher
2025-06-27 18:17:24 - sugar_researcher - ERROR - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 表名不存在！
2025-06-27 18:17:24 - sugar_researcher - WARNING - 读取缓存失败: 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 表名不存在！, 将使用原数据: (32, 7)
2025-06-27 18:17:24 - sugar_researcher - INFO - 数据清洗, 待分析的文章数量: 8, 耗时: 0:00:00.001824
2025-06-27 18:17:24 - sugar_researcher - INFO - 共计 8 篇文章，串行处理！
2025-06-27 18:17:48 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-27 18:17:48 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-27 18:17:48 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-27 18:17:48 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-27 18:17:48 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (32, 7)
2025-06-27 18:17:48 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aibot_sentimental_sugar_researcher
2025-06-27 18:17:48 - dbfile_sugar - ERROR - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 表名不存在！
2025-06-27 18:23:48 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-27 18:23:48 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-27 18:23:48 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-27 18:23:48 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-27 18:23:48 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (32, 7)
2025-06-27 18:23:48 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aibot_sentimental_sugar_researcher
2025-06-27 18:23:48 - dbfile_sugar - ERROR - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 表名不存在！
2025-06-27 18:31:52 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-27 18:33:16 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-27 18:33:16 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-27 18:33:16 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-27 18:33:16 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-27 18:33:16 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (32, 7)
2025-06-27 18:33:16 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aibot_sentimental_sugar_researcher
2025-06-27 18:33:16 - dbfile_sugar - ERROR - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 表名不存在！
2025-06-27 18:34:56 - dbfile_sugar - DEBUG - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, 开始存储 pd.DataFrame 数据
2025-06-27 18:34:56 - dbfile_sugar - ERROR - 存储 dataframe 数据至 aibot_sentimental_sugar_researcher, schema 检查失败:多余字段: {'partitionBy'}
2025-06-27 18:38:14 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-27 18:38:14 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-27 18:38:14 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-27 18:38:14 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-27 18:38:14 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (32, 7)
2025-06-27 18:38:14 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aibot_sentimental_sugar_researcher
2025-06-27 18:38:14 - dbfile_sugar - ERROR - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 表名不存在！
2025-06-27 18:38:22 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
2025-06-27 18:38:22 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 加载 metadata
2025-06-27 18:38:22 - dbfile_sugar - DEBUG - 从 aisugar_hisugar 读取 dataframe 数据, 执行分区读取
2025-06-27 18:38:22 - dbfile_sugar - INFO - 成功从 aisugar_hisugar 读取 dataframe 数据，数据大小: (32, 7)
2025-06-27 18:38:22 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aibot_sentimental_sugar_researcher
2025-06-27 18:38:22 - dbfile_sugar - ERROR - 从 aibot_sentimental_sugar_researcher 读取 dataframe 数据, 表名不存在！
2025-06-27 18:38:34 - dbfile_sugar - INFO - 初始化文件数据库, 根路径: /Users/xiehao/Desktop/workspace/X2AI/FinAI/DataBase
2025-06-27 18:38:34 - dbfile_sugar - DEBUG - 读取 dataframe 数据, 表名: aisugar_hisugar
